month,vehicle_type,vehicles,loads,gb,gb_per_vehicle
02/01/25,Flatbed,26,128,294276.0,11318.307692307691
03/01/25,Flatbed,14,518,315572.87300000014,22540.91950000001
04/01/25,Flatbed,10,39,86558.0,8655.8
05/01/25,Curtain Sides,1,2,5250.0,5250.0
05/01/25,Flatbed,34,148,289372.0,8510.941176470587
06/01/25,Curtain Sides,2,7,13550.0,6775.0
06/01/25,Flatbed,72,268,716447.0,9950.652777777777
07/01/25,Curtain Sides,4,13,24100.0,6025.0
07/01/25,Flatbed,71,494,1475519.0,20781.957746478874
08/01/25,Curtain Sides,2,8,14350.0,7175.0
08/01/25,Flatbed,73,665,1316938.0,18040.246575342466
09/01/25,Curtain Sides,2,8,16040.0,8020.0
09/01/25,Flatbed,73,568,1389485.0,19034.04109589041
10/01/25,Curtain Sides,2,12,21600.0,10800.0
10/01/25,Flatbed,69,501,1317234.0,19090.347826086956
11/01/25,Curtain Sides,32,124,278385.0,8699.53125
11/01/25,Flatbed,74,642,1327610.0,17940.675675675677
12/01/25,Curtain Sides,19,116,249390.0,13125.78947368421
12/01/25,Flatbed,80,470,1059525.0,13244.0625
01/01/26,Curtain Sides,24,102,206815.0,8617.291666666666
01/01/26,Flatbed,54,241,528441.0,9785.944444444445
02/01/26,Curtain Sides,14,17,30790.0,2199.285714285714
02/01/26,Flatbed,13,15,26450.0,2034.6153846153845
